timestamp,city,temperature,feels_like,humidity,pressure,wind
2026-04-25 19:26:45.457930,manila,32,37,59,1010,21
2026-05-07 22:11:13,bangkok,today,Enable JavaScript and cookies to continue,N/A,N/A,Ray ID: 9f80d0094c44b21b,N/A,N/A,N/A,N/A,N/A,N/A
2026-05-07 22:11:24,bangkok,today,Enable JavaScript and cookies to continue,N/A,N/A,Ray ID: 9f80d04b1c830986,N/A,N/A,N/A,N/A,N/A,N/A
2026-05-07 22:11:34,bangkok,today,Enable JavaScript and cookies to continue,N/A,N/A,Ray ID: 9f80d08cc8cbe2e1,N/A,N/A,N/A,N/A,N/A,N/A
